,County,Population,State,mergedkeycol,Housing Data.Residing in Group Quarters,Housing Data.Total Housing Units,Vehicle Access.1 Mile,Vehicle Access.1/2 Mile,Vehicle Access.10 Miles,Vehicle Access.20 Miles,Low Access Numbers.Children.1 Mile,Low Access Numbers.Children.1/2 Mile,Low Access Numbers.Children.10 Miles,Low Access Numbers.Children.20 Miles,Low Access Numbers.Low Income People.1 Mile,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.Low Income People.10 Miles,Low Access Numbers.Low Income People.20 Miles,Low Access Numbers.People.1 Mile,Low Access Numbers.People.1/2 Mile,Low Access Numbers.People.10 Miles,Low Access Numbers.People.20 Miles,Low Access Numbers.Seniors.1 Mile,Low Access Numbers.Seniors.1/2 Mile,Low Access Numbers.Seniors.10 Miles,Low Access Numbers.Seniors.20 Miles,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
606,clintoncounty,37762,il,clintoncountyil,2072,14005,389,584,1.0,0,6037,7460,27,0,5858,7323,61,0,26250.0,32249,162,0,3475,4313.0,30,0,18.0,21.1,5.9,22.3,90.1,2356.0,0.4,0.6,3.7,3.2,0.1,1.3,94.0,91.2,79.6,14353.0,16003.0,146200.0,2.47,66639,31783,1.7,474.09,4.1,90.2,740163.0,26.5,48.2,2872.0,36899,37762,79.7,41443.0,425943.0,2724,900,1279,102.0,2535,201,2364
607,colescounty,53873,il,colescountyil,4489,21463,604,1375,22.0,0,4599,8035,290,0,6963,18541,387,0,20974.0,42491,1389,0,3255,5970.0,285,0,17.5,17.9,4.8,26.0,91.4,2581.0,0.3,1.1,4.0,2.7,0.1,1.7,92.8,90.7,61.5,20926.0,23459.0,100500.0,2.27,46202,28084,2.2,508.29,3.8,77.2,740163.0,16.9,51.4,3060.0,46863,53873,106.0,84677.0,701272.0,3582,1004,1873,223.0,3143,350,2866
608,cookcounty,5194675,il,cookcountyil,90282,1966356,9675,83246,0.0,0,95599,500979,0,0,93265,602198,0,0,16444.5,2032140,0,0,52377,275100.0,0,0,15.1,21.6,6.0,38.8,87.1,492996.0,0.7,7.9,23.8,25.6,0.1,2.0,65.4,42.0,56.9,1972108.0,2204019.0,246600.0,2.59,64660,37552,21.1,945.33,35.3,87.4,79526980.0,33.4,51.4,156000.0,5275541,5194675,5495.1,14553105.0,62767358.0,549686,216929,291278,216374.0,319115,38665,495450
609,crawfordcounty,19817,il,crawfordcountyil,1495,7763,140,305,5.0,0,2433,3513,191,0,3393,5106,198,0,12313.0,17223,818,0,1809,2788.0,107,0,19.4,19.8,5.4,17.1,85.0,1305.0,0.4,0.7,5.2,2.3,0.0,1.2,92.5,90.5,77.7,7666.0,8695.0,87800.0,2.16,49779,26546,1.7,443.63,4.3,85.0,740163.0,15.9,47.5,1226.0,18679,19817,44.7,17240.0,187142.0,1457,313,811,100.0,1296,172,1068
610,cumberlandcounty,11048,il,cumberlandcountyil,117,4377,134,145,1.0,0,1836,2016,23,0,2082,2360,16,0,7818.0,8532,92,0,1195,2416.0,8,0,20.4,22.2,5.8,15.4,90.6,723.0,0.2,0.6,0.5,1.1,0.1,1.0,97.5,96.6,78.7,4299.0,4868.0,105800.0,2.49,56206,27812,1.0,346.02,1.4,88.4,740163.0,22.8,50.2,662.0,10450,11048,31.9,44746.0,38617.0,712,241,372,49.0,640,29,662
611,dewittcounty,16561,il,dewittcountyil,249,6811,79,133,7.0,0,2063,2742,184,0,2113,3059,228,0,9214.0,12040,846,0,1483,2416.0,123,0,19.8,21.1,5.5,21.3,91.5,904.0,0.3,0.5,1.0,2.8,0.1,1.3,96.9,94.5,78.7,6694.0,7582.0,99500.0,2.34,55587,30729,1.5,397.51,3.4,87.4,181410.0,21.0,50.3,1099.0,15516,16561,41.7,19787.0,220601.0,1194,388,535,80.0,1070,165,958
612,dekalbcounty,105160,il,dekalbcountyil,6673,38484,1098,2222,2.0,0,12903,20173,52,0,19287,32413,21,0,58924.0,91265,256,0,5524,2416.0,36,0,12.9,21.4,5.7,32.3,92.3,6184.0,0.5,2.7,8.3,11.7,0.1,2.1,86.3,75.8,57.0,38150.0,41308.0,173100.0,2.62,63317,29430,6.5,631.31,11.9,78.8,1339383.0,26.0,50.4,5251.0,100420,105160,166.6,135939.0,1052737.0,6954,2491,3708,809.0,5909,693,5930
613,douglascounty,19980,il,douglascountyil,168,7720,524,678,18.0,0,2515,3803,253,0,2907,4576,458,0,8987.0,14253,1284,0,1357,2245.0,289,0,18.3,24.7,6.6,18.9,83.2,1580.0,0.4,0.7,0.7,7.3,0.1,1.4,96.8,90.0,74.0,7613.0,8475.0,111400.0,2.55,56714,28139,3.6,416.67,16.6,88.8,841256.0,20.5,50.3,1032.0,19740,19980,48.0,28130.0,218711.0,1877,579,1036,54.0,1748,198,1550
614,dupagecounty,916924,il,dupagecountyil,12140,337132,2845,8889,0.0,0,52092,159372,0,0,30279,101182,0,0,210145.0,642416,0,0,24164,74779.0,0,0,16.1,22.5,5.8,49.4,93.0,86929.0,0.4,12.7,5.3,14.6,0.1,2.1,79.5,66.0,73.4,342791.0,362182.0,308500.0,2.67,92809,46272,19.1,327.5,27.5,88.1,18896683.0,29.8,50.8,31838.0,932877,916924,2799.8,2424272.0,17758770.0,98579,31321,56343,19026.0,75928,6395,87812
615,edgarcounty,18576,il,edgarcountyil,283,7839,271,432,100.0,0,2552,3406,1017,0,3380,4846,1505,0,11904.0,15538,4612,0,2272,2416.0,920,0,22.5,20.2,5.2,17.2,90.1,883.0,0.2,0.4,0.6,1.3,0.0,1.0,97.8,96.6,76.5,7542.0,8818.0,82800.0,2.26,53647,27797,0.8,623.37,1.0,86.1,714764.0,20.0,51.0,1234.0,16866,18576,29.8,44746.0,156994.0,1002,343,403,0.0,939,36,887
616,edwardscounty,6721,il,edwardscountyil,52,2840,49,65,13.0,0,924,1088,314,0,1122,1304,514,0,4023.0,4718,1243,0,667,2416.0,201,0,21.9,22.5,5.8,13.9,92.0,423.0,0.5,0.4,0.5,1.4,0.1,1.3,97.3,96.4,80.2,2773.0,3193.0,79300.0,2.31,51080,28255,0.5,222.42,2.1,89.8,740163.0,22.5,51.1,449.0,6245,6721,30.2,2808.0,55047.0,448,200,223,0.0,418,91,334
617,effinghamcounty,34242,il,effinghamcountyil,440,13515,349,517,11.0,0,5557,6738,482,0,4757,6434,524,0,21883.0,26954,1894,0,3010,3970.0,270,0,17.9,23.9,6.8,22.7,93.1,2729.0,0.2,0.7,0.6,2.3,0.0,0.9,97.5,95.6,75.4,13877.0,14959.0,143600.0,2.43,56685,31665,2.2,478.78,3.7,86.8,697871.0,17.7,50.1,1926.0,34668,34242,71.5,97493.0,934654.0,3439,893,1949,87.0,3212,173,2932
618,fayettecounty,22140,il,fayettecountyil,1784,8311,225,293,51.0,0,4063,4804,1327,0,7817,9239,2328,0,18066.0,21248,5406,0,2720,2416.0,901,0,19.4,20.8,5.8,11.3,83.8,1224.0,0.3,0.4,4.6,1.8,0.0,1.2,93.5,92.1,80.5,7737.0,9305.0,88300.0,2.57,46650,23194,1.3,716.48,4.7,86.4,113934.0,22.2,47.3,1377.0,21488,22140,30.9,20974.0,256432.0,1427,366,827,45.0,1309,139,1159
619,fordcounty,14081,il,fordcountyil,410,5676,119,202,30.0,0,1661,2488,525,0,2231,3279,739,0,7068.0,10639,2160,0,1254,2416.0,373,0,19.3,22.6,5.9,21.4,90.4,910.0,0.4,0.6,1.1,3.7,0.1,1.5,96.5,93.1,72.2,5771.0,6353.0,98300.0,2.23,52092,28957,1.0,485.62,3.8,85.8,740163.0,22.1,50.6,929.0,13534,14081,29.0,44746.0,119101.0,1199,376,635,0.0,1122,116,1038
620,franklincounty,39561,il,franklincountyil,517,16617,568,914,8.0,0,5095,7323,159,0,8709,13302,200,0,22935.0,32665,617,0,4211,6060.0,84,0,20.9,22.0,5.9,16.7,88.9,2099.0,0.4,0.4,0.6,1.7,0.0,1.4,97.1,95.7,74.2,16235.0,18636.0,76100.0,2.37,42769,24098,0.8,408.89,1.3,85.1,199055.0,25.5,50.8,2967.0,37804,39561,96.8,38246.0,408143.0,2802,887,1482,55.0,2614,151,2491
621,fultoncounty,37069,il,fultoncountyil,2683,14536,236,458,55.0,0,3821,5741,894,0,7053,10081,1644,0,19746.0,28273,4022,0,3248,4941.0,721,0,21.2,19.4,4.9,17.6,88.6,1614.0,0.7,0.3,4.1,3.1,0.0,1.0,93.8,91.5,78.3,13940.0,16368.0,88600.0,2.33,51643,27741,1.2,865.6,3.6,86.6,47458.0,24.7,47.9,2312.0,33609,37069,42.8,28702.0,316634.0,1781,668,921,28.0,1649,178,1446
622,gallatincounty,5589,il,gallatincountyil,25,2403,161,161,93.0,0,1184,1184,784,0,2373,2373,1670,0,5589.0,5589,3706,0,1145,1145.0,750,0,24.4,19.9,5.0,10.9,86.9,303.0,0.5,0.2,0.7,1.6,0.1,1.8,96.8,95.3,77.1,9917.5,2743.0,73900.0,2.2,44076,33377,0.5,323.07,1.1,91.0,972.0,27.2,51.0,354.0,4946,5589,17.3,1416.0,16073.0,494,151,301,0.0,455,110,343
623,greenecounty,13886,il,greenecountyil,284,5570,82,163,0.0,0,1466,2215,16,0,2056,3282,9,0,6420.0,9867,62,0,1029,1710.0,3,0,20.0,21.4,5.4,12.8,90.6,767.0,0.3,0.2,1.3,1.3,0.0,0.8,97.3,96.1,77.6,4949.0,6425.0,81000.0,2.6,49885,25414,0.5,543.02,1.1,89.4,740163.0,29.0,49.4,1162.0,11985,13886,25.6,44746.0,125553.0,974,251,597,30.0,919,102,836
624,grundycounty,50063,il,grundycountyil,254,18546,261,506,0.0,0,7950,11948,0,0,6019,8826,0,0,29988.0,43258,0,0,3424,4578.0,0,0,14.6,25.0,6.1,22.9,93.2,3007.0,0.4,0.8,1.8,10.5,0.1,1.3,95.6,85.8,71.3,9917.5,21330.0,199300.0,2.56,77350,35208,3.9,418.04,7.7,89.8,2113832.0,29.2,50.2,2990.0,52533,50063,119.8,59698.0,524667.0,3683,1327,1784,291.0,3207,247,3151
625,hamiltoncounty,8457,il,hamiltoncountyil,117,3489,94,123,15.0,0,1252,1503,232,0,1457,1801,235,0,5361.0,6540,987,0,930,1237.0,155,0,22.4,21.8,5.4,17.0,87.1,567.0,0.4,0.4,0.6,1.9,0.0,1.0,97.5,95.9,80.0,3400.0,4102.0,93500.0,2.37,54046,27702,0.8,434.67,1.6,91.8,740163.0,26.1,51.0,547.0,7993,8457,19.5,4632.0,45360.0,771,120,523,0.0,732,135,588
626,hancockcounty,19104,il,hancockcountyil,223,8040,293,337,80.0,0,3627,3923,1082,0,5194,5609,1781,0,16442.0,17737,4787,0,3209,3478.0,913,0,23.5,20.9,5.3,21.0,93.4,1235.0,0.4,0.4,0.6,1.6,0.1,1.1,97.4,96.1,81.4,7409.0,9232.0,85600.0,2.39,52561,28576,1.3,793.73,1.7,92.4,740163.0,25.0,50.5,1277.0,17620,19104,24.1,10487.0,97042.0,1669,542,891,37.0,1551,201,1368
627,hardincounty,4320,il,hardincountyil,17,1915,100,127,18.0,0,627,706,160,0,1194,1392,268,0,3225.0,3610,911,0,676,744.0,205,0,26.7,17.5,3.8,10.8,79.6,166.0,0.7,0.5,0.4,2.4,0.1,1.4,96.8,94.5,82.0,1363.0,2484.0,80500.0,2.8,51250,28932,0.4,177.53,0.6,88.1,740163.0,28.7,49.4,353.0,3649,4320,24.3,44746.0,14525.0,399,33,351,0.0,386,0,377
628,hendersoncounty,7331,il,hendersoncountyil,51,3149,60,66,1.0,0,974,1092,21,0,1566,1717,36,0,4962.0,5543,99,0,1005,1132.0,13,0,25.4,18.3,5.1,18.3,91.2,347.0,0.3,0.5,0.6,1.9,0.1,1.3,97.2,95.6,82.2,2977.0,3863.0,92000.0,2.27,53676,28950,1.3,378.87,2.0,91.0,740163.0,26.6,51.4,541.0,6387,7331,19.3,44746.0,39350.0,517,110,361,0.0,471,56,430
629,henrycounty,50486,il,henrycountyil,724,20373,395,813,75.0,0,7431,9877,804,0,7103,10617,858,0,31411.0,41184,3523,0,5040,6802.0,665,0,20.9,22.1,5.5,23.3,91.2,2801.0,0.3,0.5,2.0,6.0,0.0,1.6,95.6,90.2,78.6,19856.0,22147.0,119200.0,2.45,59933,30345,2.0,822.99,4.6,93.2,740163.0,22.4,50.1,3422.0,49284,50486,61.3,44746.0,500077.0,3038,894,1723,169.0,2749,275,2569
630,iroquoiscounty,29718,il,iroquoiscountyil,468,11956,450,520,99.0,0,5771,6334,1450,0,8256,9218,2020,0,24700.0,27204,6157,0,4615,5190.0,1176,0,22.0,21.6,5.6,15.9,89.5,1847.0,0.4,0.6,1.2,7.3,0.0,1.4,96.4,89.6,76.1,11741.0,13502.0,102800.0,2.33,52700,27574,3.2,1117.32,6.1,89.2,515157.0,23.8,50.8,1753.0,27077,29718,26.6,22533.0,287375.0,2174,702,1113,116.0,1990,149,1940
631,jacksoncounty,60218,il,jacksoncountyil,4087,25538,1203,2065,80.0,0,7340,9349,699,0,13308,23364,1352,0,33792.0,49930,2960,0,4628,6115.0,487,0,16.3,18.4,5.4,34.1,91.9,3125.0,0.6,3.5,15.2,4.7,0.1,2.9,77.7,74.0,51.5,23883.0,28941.0,108600.0,2.26,37241,24804,5.8,584.08,8.9,74.0,178271.0,20.3,50.4,3487.0,52974,60218,103.1,111543.0,1008326.0,4791,1123,2953,660.0,3845,446,3915
632,jaspercounty,9698,il,jaspercountyil,54,3940,138,209,5.0,0,1661,2043,243,0,1756,2431,159,0,16444.5,8872,967,0,1211,1536.0,171,0,19.8,23.2,6.3,16.6,89.8,819.0,0.2,0.3,0.3,1.8,0.0,0.8,98.3,96.6,78.9,3711.0,4343.0,99500.0,2.57,54256,25849,0.9,494.51,2.8,91.8,101616.0,24.8,49.9,420.0,9287,9698,19.6,4427.0,73336.0,788,261,367,48.0,707,64,697
633,jeffersoncounty,38827,il,jeffersoncountyil,2203,15365,482,866,54.0,0,5487,7139,660,0,8498,12019,1397,0,26109.0,33291,3537,0,4028,5325.0,493,0,19.5,22.3,6.3,17.9,87.4,2246.0,0.4,1.2,8.9,2.9,0.0,2.1,87.4,85.3,73.2,14985.0,17039.0,96700.0,2.37,49896,26466,2.0,571.17,4.5,85.7,740163.0,19.6,48.5,2735.0,37113,38827,68.0,71129.0,709525.0,3307,749,2113,180.0,2958,478,2613
634,jerseycounty,22985,il,jerseycountyil,848,8828,254,412,21.0,0,4454,5105,197,0,4164,5151,305,0,19364.0,22102,997,0,2834,3291.0,175,0,19.8,20.4,5.2,20.3,92.3,1328.0,0.4,1.0,0.8,1.4,0.0,1.3,96.5,95.4,81.9,8499.0,10173.0,147900.0,2.47,63028,30182,1.0,369.27,1.7,90.9,740163.0,27.4,51.3,1848.0,21512,22985,62.2,26280.0,230634.0,1358,415,697,0.0,1277,125,1144
635,jodaviesscounty,22678,il,jodaviesscountyil,167,9753,186,341,40.0,0,3345,4214,437,0,3771,4963,553,0,15927.0,20240,2031,0,3318,2416.0,453,0,28.8,18.7,4.3,25.0,92.3,1920.0,0.3,0.5,0.8,3.2,0.1,1.1,97.3,94.4,78.4,9970.0,13739.0,149100.0,2.15,57946,34437,2.3,601.09,3.3,89.0,480192.0,21.3,49.9,1687.0,22035,22678,37.7,73645.0,293688.0,2234,601,1226,33.0,2141,138,1819
636,johnsoncounty,12582,il,johnsoncountyil,1553,4584,146,178,16.0,0,1829,2037,211,0,4340,4634,330,0,9979.0,10911,948,0,1592,2416.0,169,0,21.9,18.3,4.7,16.0,82.2,751.0,0.4,0.3,7.1,3.1,0.0,1.2,91.0,88.4,84.2,4303.0,5639.0,109500.0,2.38,52774,23140,1.9,343.92,3.6,84.2,740163.0,25.5,45.5,958.0,13308,12582,36.6,44746.0,88589.0,954,154,585,33.0,893,249,583
637,kanecounty,515269,il,kanecountyil,6787,170479,1779,5011,0.0,0,45106,105994,0,0,23981,82429,0,0,160682.0,368349,0,0,16288,35628.0,0,0,14.3,25.0,6.2,33.1,84.6,35338.0,1.0,4.4,6.0,32.4,0.1,2.0,86.6,56.6,73.9,179637.0,190970.0,238300.0,2.93,79394,36270,17.5,520.06,31.4,88.1,10338688.0,29.1,50.2,20699.0,516522,515269,990.8,720315.0,5681086.0,39039,13345,21323,9737.0,27638,2993,34487
638,kankakeecounty,113449,il,kankakeecountyil,5107,41511,1296,2567,70.0,0,13402,23691,823,0,14322,27366,633,0,51671.0,91446,3170,0,7264,12340.0,475,0,17.3,22.5,5.9,20.8,88.2,5872.0,0.4,1.1,15.0,10.8,0.0,2.1,81.4,71.6,68.0,39796.0,45747.0,147900.0,2.64,58902,27984,4.9,676.56,9.4,89.9,4842838.0,24.6,50.7,6393.0,107502,113449,167.7,160293.0,1463289.0,8288,3297,3967,1943.0,6008,768,7076
639,kendallcounty,114736,il,kendallcountyil,208,38022,410,611,7.0,0,22680,31902,16,0,12678,18128,14,0,16444.5,100623,67,0,5251,7126.0,12,0,10.7,28.1,6.5,36.2,92.4,8888.0,0.6,3.3,8.0,20.0,0.1,2.2,85.9,67.4,83.6,40721.0,42894.0,235600.0,3.09,96563,36382,9.5,320.34,18.3,88.0,719203.0,34.4,50.5,4918.0,131869,114736,358.2,139421.0,1151458.0,8111,2839,4151,1542.0,6260,511,7089
640,knoxcounty,52919,il,knoxcountyil,3955,21535,340,1079,24.0,0,4805,8559,507,0,6898,13912,621,0,23981.0,41047,2566,0,4325,7581.0,523,0,21.9,19.9,5.8,18.9,89.1,2169.0,0.4,1.0,8.3,6.0,0.0,2.8,87.4,82.4,66.7,20680.0,23870.0,83000.0,2.23,44129,24545,3.3,716.4,6.4,91.1,321417.0,18.4,49.5,3288.0,49967,52919,73.9,76344.0,791255.0,3342,1083,1625,300.0,2820,277,2637
641,lasallecounty,113924,il,lasallecountyil,2950,45347,1018,1924,61.0,0,13724,20448,1190,0,15688,25088,1282,0,59799.0,88086,4933,0,8925,13824.0,650,0,19.4,21.3,5.5,17.8,88.6,5667.0,0.4,0.9,2.9,10.3,0.0,1.4,94.3,84.7,71.8,45095.0,50176.0,127200.0,2.36,58142,30277,3.7,1135.12,7.6,87.5,2345626.0,23.4,49.5,7043.0,109658,113924,100.4,188570.0,1689490.0,8012,2552,4334,430.0,7122,994,6429
642,lakecounty,703462,il,lakecountyil,20709,241712,3135,7445,7.0,0,76235,143932,0,0,48623,103561,0,0,16444.5,529508,0,0,30752,54047.0,0,0,14.8,23.9,5.7,45.3,90.6,56075.0,0.9,8.4,7.5,22.4,0.1,2.2,80.9,60.6,73.0,246122.0,265507.0,265100.0,2.78,89427,45766,18.7,443.67,28.8,87.2,12045977.0,30.4,50.0,30351.0,714342,703462,1585.6,1399245.0,14900534.0,63647,21379,35255,12759.0,48789,4758,55982
643,lawrencecounty,16833,il,lawrencecountyil,2471,6130,161,227,2.0,0,2220,2575,139,0,4360,5089,89,0,12109.0,13943,618,0,1638,2416.0,97,0,17.9,18.9,5.0,14.9,84.9,747.0,0.5,0.5,10.3,4.0,0.0,1.1,87.6,84.4,74.2,6306.0,7223.0,78400.0,2.16,46636,23613,2.3,372.18,5.8,84.1,740163.0,21.2,44.0,1050.0,15280,16833,45.2,44746.0,117253.0,1221,345,717,0.0,1157,161,947
644,leecounty,36031,il,leecountyil,2872,13758,429,669,12.0,0,4551,6430,175,0,5726,8168,199,0,22147.0,30645,655,0,3405,4751.0,105,0,20.2,19.6,5.0,18.2,88.8,1915.0,0.4,0.8,5.6,6.6,0.0,1.5,91.7,85.9,72.3,13788.0,15088.0,119900.0,2.25,58194,29984,2.5,724.9,4.8,85.7,1193573.0,21.8,46.9,2056.0,34145,36031,49.7,38907.0,379892.0,2301,716,1269,40.0,2130,203,1939
645,livingstoncounty,38950,il,livingstoncountyil,3390,14613,327,701,51.0,0,4728,6848,780,0,6160,9083,1470,0,21122.0,30856,3322,0,3240,4725.0,579,0,19.4,21.6,5.8,14.8,89.9,1927.0,0.3,0.9,4.3,4.8,0.0,1.6,92.9,88.8,72.8,14307.0,15907.0,109400.0,2.36,55160,27925,2.1,1044.29,3.8,88.1,1210526.0,21.5,49.8,2546.0,35815,38950,37.3,36215.0,479427.0,2591,763,1373,31.0,2423,226,2143
646,logancounty,30305,il,logancountyil,4361,11070,251,582,49.0,0,3507,5194,1335,0,4234,6545,1542,0,16444.5,26946,5676,0,2688,4298.0,981,0,18.6,19.2,5.3,19.9,88.7,1387.0,0.4,0.8,8.5,3.5,0.0,1.6,88.7,85.9,72.7,10797.0,12029.0,103200.0,2.31,57308,27546,1.6,618.06,4.6,84.1,555333.0,21.9,49.2,1890.0,27987,30305,49.0,30990.0,292327.0,1981,720,993,82.0,1749,209,1617
647,maconcounty,110768,il,maconcountyil,4059,45855,1036,3379,29.0,0,12608,21301,593,0,13089,30028,722,0,55573.0,92485,2226,0,9402,2416.0,299,0,20.4,22.2,6.2,22.1,90.4,5091.0,0.3,1.2,17.8,2.4,0.1,3.1,77.7,75.8,68.4,43912.0,50305.0,98400.0,2.32,50480,29644,2.0,580.69,3.5,84.3,13379268.0,17.9,52.1,7062.0,103998,110768,190.8,189787.0,1494152.0,7229,2882,3310,1608.0,5170,709,5918
648,macoupincounty,47765,il,macoupincountyil,876,19381,357,640,40.0,0,6059,8505,553,0,7317,11395,820,0,26954.0,37771,2419,0,4522,6421.0,450,0,20.4,21.1,5.2,18.4,91.3,2475.0,0.4,0.4,1.0,1.3,0.0,1.1,97.1,96.0,76.7,18875.0,21800.0,100600.0,2.36,55159,28809,0.9,862.91,1.6,88.9,740163.0,28.0,50.6,3387.0,44967,47765,55.4,44746.0,392007.0,3090,806,1801,81.0,2943,362,2550
649,madisoncounty,269282,il,madisoncountyil,3754,108094,3695,5898,0.0,0,36887,53458,1,0,43268,65784,1,0,161213.0,233152,9,0,22045,2416.0,1,0,17.6,21.7,5.7,26.8,92.5,14601.0,0.3,1.0,8.8,3.4,0.1,2.1,87.6,84.6,71.4,107659.0,120024.0,135600.0,2.41,60738,32427,2.4,715.58,3.9,86.0,19140467.0,25.2,51.3,20286.0,265859,269282,376.3,431161.0,3230218.0,18813,6627,9196,1812.0,16295,2037,15471
650,marioncounty,39437,il,marioncountyil,758,16148,485,962,41.0,0,5801,7885,898,0,8760,13164,1136,0,24794.0,33691,3984,0,4110,5869.0,691,0,19.8,23.2,6.4,15.2,89.0,2076.0,0.4,0.6,4.3,2.1,0.0,2.0,92.7,90.9,73.6,15946.0,18280.0,77900.0,2.32,47519,25563,1.2,572.36,1.7,86.3,710584.0,19.8,51.1,2688.0,37729,39437,68.9,38162.0,353692.0,2903,814,1624,128.0,2587,226,2461
651,marshallcounty,12640,il,marshallcountyil,255,5161,92,112,17.0,0,1785,2100,429,0,2179,2594,548,0,8275.0,9785,1665,0,1525,2416.0,296,0,23.6,20.3,5.4,18.9,92.9,619.0,0.4,0.5,0.7,3.0,0.0,1.4,96.9,94.5,81.8,4884.0,5900.0,104900.0,2.33,58465,30808,1.7,386.79,3.1,90.9,740163.0,27.6,50.6,990.0,11742,12640,32.7,7422.0,85681.0,877,114,573,0.0,811,119,707
652,masoncounty,14666,il,masoncountyil,206,6079,178,235,62.0,0,2247,2795,920,0,3548,4868,1227,0,10165.0,12818,3819,0,1794,2416.0,595,0,22.4,20.9,5.2,16.0,89.2,641.0,0.4,0.5,0.7,1.2,0.0,1.2,97.3,96.2,77.8,5977.0,7039.0,83000.0,2.24,48417,28534,0.8,539.24,1.7,88.1,24649.0,26.3,50.7,1123.0,13086,14666,27.2,44746.0,130469.0,788,273,424,35.0,716,0,703
653,massaccounty,15429,il,massaccountyil,292,6362,177,321,14.0,0,2151,2789,110,0,3191,4633,169,0,9474.0,12387,524,0,1647,2290.0,106,0,21.4,21.6,5.5,13.9,86.8,819.0,0.6,0.6,6.1,3.2,0.0,2.4,90.4,87.7,75.5,5822.0,7103.0,83600.0,2.39,47481,23539,1.0,237.22,2.4,91.6,740163.0,23.0,51.9,1029.0,14169,15429,65.0,44746.0,84949.0,690,236,326,42.0,608,101,509
654,mcdonoughcounty,32612,il,mcdonoughcountyil,4036,13057,305,918,27.0,0,2602,4331,384,0,5133,10795,664,0,15537.0,27877,1700,0,2351,4038.0,319,0,18.1,17.3,4.6,32.2,93.6,1549.0,0.4,2.5,5.5,2.9,0.0,1.7,89.9,87.6,66.3,11408.0,14391.0,91800.0,2.38,44471,24094,3.7,589.41,5.0,79.1,420900.0,17.6,50.9,1894.0,27238,32612,55.3,71557.0,340837.0,1837,701,783,138.0,1603,93,1626
655,mchenrycounty,308760,il,mchenrycountyil,1647,109199,1764,2985,0.0,0,54968,73948,0,0,30710,45186,0,0,197427.0,270455,0,0,19045,27771.0,0,0,15.2,23.2,5.5,34.4,93.1,22922.0,0.5,3.0,1.8,13.9,0.1,1.7,93.0,80.1,79.4,9917.5,119173.0,224500.0,2.72,86799,39006,9.3,603.17,14.2,88.6,5163195.0,33.2,50.2,14529.0,310229,308760,511.9,435670.0,3664358.0,27080,8835,15243,2906.0,23462,2133,23969
656,mcleancounty,169572,il,mcleancountyil,10676,65104,1079,2809,31.0,0,19666,30057,556,0,19364,38588,614,0,80156.0,130913,2297,0,7362,2416.0,328,0,13.8,21.2,5.7,44.8,95.9,9646.0,0.3,5.1,8.4,5.2,0.1,2.4,83.7,79.2,64.6,65845.0,72764.0,167000.0,2.5,67675,34532,6.6,1183.38,7.9,83.6,1590166.0,17.9,51.5,8202.0,170954,169572,143.3,392975.0,2441555.0,11960,3907,6432,1540.0,9891,960,10251
657,menardcounty,12705,il,menardcountyil,154,5140,126,174,2.0,0,2407,2748,22,0,2286,2635,16,0,10240.0,11547,90,0,1537,1742.0,10,0,20.0,21.6,5.3,24.0,94.1,783.0,0.3,0.4,0.9,1.6,0.0,1.5,96.9,95.5,78.1,5188.0,5748.0,146900.0,2.35,74684,37098,0.8,314.44,1.6,88.2,740163.0,27.1,51.2,1038.0,12297,12705,40.4,5522.0,76770.0,921,379,331,0.0,892,29,852
658,mercercounty,16434,il,mercercountyil,185,6734,319,369,55.0,0,3129,3565,261,0,3642,3967,551,0,13903.0,15741,1325,0,2471,2805.0,272,0,21.8,21.1,5.0,17.4,91.9,901.0,0.3,0.5,0.7,2.6,0.0,1.2,97.3,94.9,79.0,6516.0,7416.0,107600.0,2.36,59787,29268,1.0,561.2,1.3,90.8,740163.0,26.8,50.2,1223.0,15699,16434,29.3,44746.0,72612.0,1041,355,534,0.0,999,142,838
