,County,Population,State,mergedkeycol,Housing Data.Residing in Group Quarters,Housing Data.Total Housing Units,Vehicle Access.1 Mile,Vehicle Access.1/2 Mile,Vehicle Access.10 Miles,Vehicle Access.20 Miles,Low Access Numbers.Children.1 Mile,Low Access Numbers.Children.1/2 Mile,Low Access Numbers.Children.10 Miles,Low Access Numbers.Children.20 Miles,Low Access Numbers.Low Income People.1 Mile,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.Low Income People.10 Miles,Low Access Numbers.Low Income People.20 Miles,Low Access Numbers.People.1 Mile,Low Access Numbers.People.1/2 Mile,Low Access Numbers.People.10 Miles,Low Access Numbers.People.20 Miles,Low Access Numbers.Seniors.1 Mile,Low Access Numbers.Seniors.1/2 Mile,Low Access Numbers.Seniors.10 Miles,Low Access Numbers.Seniors.20 Miles,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
3078,manitowoccounty,81442,wi,manitowoccountywi,1100,34013,744,1577,2.0,0,10301,15482,60,0,11480,19029,44,0,46050.0,68469,256,0,7140,2416.0,29,0,21.1,20.4,5.0,20.2,92.0,3913.0,0.8,2.9,1.2,4.4,0.1,1.5,93.6,89.8,75.4,34563.0,37657.0,130100.0,2.26,56612,30130,2.9,589.08,5.5,92.2,3138313.0,19.3,50.0,5272.0,81359,81442,138.3,87691.0,848633.0,5397,1309,3257,190.0,4980,659,4311
3079,marathoncounty,134063,wi,marathoncountywi,1655,53176,1148,2050,26.0,0,22004,28035,993,0,19116,28191,1017,0,87901.0,113711,4441,0,11771,15850.0,591,0,18.2,22.6,5.8,25.4,91.8,7841.0,0.6,6.1,0.9,3.0,0.1,1.6,90.8,88.2,72.2,55466.0,59940.0,156300.0,2.41,62633,33189,4.0,1544.98,8.2,88.7,4306029.0,19.2,49.8,8589.0,138013,134063,86.8,180662.0,2572407.0,10129,2769,5341,510.0,9142,951,8312
3080,marinettecounty,41749,wi,marinettecountywi,1073,17974,482,761,63.0,0,5201,7136,682,0,8782,12570,1879,0,26959.0,35827,4652,1,5402,2416.0,1102,0,24.5,18.9,4.7,15.9,91.1,2236.0,0.8,0.5,0.7,2.0,0.0,1.4,96.6,95.0,74.7,18473.0,30983.0,123800.0,2.14,50330,28282,1.4,1399.35,2.8,88.9,1889633.0,20.5,49.7,3694.0,41872,41749,29.8,61142.0,532480.0,3066,752,1820,76.0,2858,469,2378
3081,marquettecounty,15404,wi,marquettecountywi,153,6571,208,236,7.0,0,2523,2778,44,0,4165,4503,50,0,13057.0,14151,269,0,2809,2992.0,45,0,25.1,19.2,4.8,15.1,89.1,1069.0,0.9,0.7,0.7,3.7,0.0,1.4,96.3,93.1,81.4,6648.0,10032.0,155300.0,2.27,52288,27922,2.0,455.6,4.0,90.1,740163.0,30.9,49.2,1536.0,15592,15404,33.8,13423.0,70924.0,1516,399,810,0.0,1445,230,1214
3082,menomineecounty,4232,wi,menomineecountywi,59,1318,113,126,34.0,0,939,1062,297,0,1546,1728,610,0,3227.0,3561,924,0,427,449.0,85,0,14.0,33.3,9.4,17.9,91.9,105.0,82.0,1.7,1.0,6.7,0.1,3.0,12.3,11.6,68.0,1408.0,2302.0,101800.0,3.2,40921,20313,0.2,357.61,3.3,88.1,740163.0,20.7,50.2,217.0,4255,4232,11.8,44746.0,6629.0,101,0,60,74.0,0,0,75
3083,milwaukeecounty,947735,wi,milwaukeecountywi,24490,383591,2645,22836,0.0,0,20799,120319,0,0,21945,173418,0,0,81547.0,484728,0,0,9820,2416.0,0,0,14.0,23.8,6.8,31.0,88.3,50963.0,1.0,4.7,27.2,15.6,0.0,2.8,64.2,50.6,49.5,382175.0,420162.0,158300.0,2.43,50606,29270,9.3,241.4,17.2,83.8,19176207.0,22.5,51.6,39370.0,939489,947735,3926.0,1831041.0,10427898.0,63487,24978,31407,20847.0,39684,5307,54696
3084,monroecounty,44673,wi,monroecountywi,859,17376,770,1150,7.0,0,8245,10578,682,0,9093,11841,796,0,30970.0,40314,2444,0,4102,5567.0,317,0,17.5,25.2,6.7,20.6,90.9,2598.0,1.5,0.9,1.8,4.9,0.1,1.7,94.0,89.9,69.7,17915.0,20098.0,155000.0,2.51,59587,29242,2.4,900.78,7.7,87.6,1364177.0,19.9,49.3,4524.0,46274,44673,49.6,60041.0,575263.0,3279,944,1839,92.0,3037,376,2646
3085,ocontocounty,37660,wi,ocontocountywi,281,15415,326,441,28.0,0,6831,7970,455,0,7934,9455,829,0,30785.0,35582,2488,0,4817,5585.0,558,0,20.9,20.1,5.0,16.8,90.4,2286.0,1.6,0.5,0.5,1.9,0.0,1.3,96.1,94.6,82.7,16036.0,24468.0,157000.0,2.33,60908,30927,1.3,997.99,2.9,91.1,522294.0,26.6,48.7,3077.0,38965,37660,37.7,29125.0,261091.0,2901,627,1467,43.0,2782,136,2591
3086,oneidacounty,35998,wi,oneidacountywi,610,16003,285,497,18.0,0,4551,5867,284,0,5664,7804,554,0,25737.0,32136,2184,0,5668,7046.0,574,0,26.7,17.1,4.5,27.2,93.1,3017.0,1.2,0.6,0.7,1.7,0.0,1.7,95.8,94.5,83.2,15421.0,31379.0,174100.0,2.25,56852,34910,1.3,1112.97,2.2,91.6,330472.0,20.1,49.8,2980.0,37845,35998,32.3,81978.0,959512.0,3958,1095,2086,110.0,3698,390,3308
3087,outagamiecounty,176695,wi,outagamiecountywi,3039,69648,645,1927,0.0,0,20557,35249,0,0,14818,30521,0,0,76651.0,137361,0,0,8077,15696.0,0,0,15.3,23.3,6.1,29.7,94.1,10683.0,1.9,3.7,1.5,4.6,0.1,1.8,91.0,87.1,71.1,73648.0,78201.0,169400.0,2.48,65572,33221,3.6,637.52,6.6,89.6,7208470.0,19.9,50.0,9900.0,190705,176695,277.2,329964.0,3277840.0,13459,3458,7912,660.0,12035,1438,11023
