State,Low Access Numbers.People.10 Miles,Vehicle Access.10 Miles,Sales.Retail Sales,Income.Median Houseold Income,Region
de,0,0.0,2690762.0,60910,South
de,0,0.0,8623161.0,73892,South
de,0,0.0,3142078.0,63162,South
dc,0,0.0,4439933.0,86420,South
fl,586,16.0,3208691.0,49689,South
fl,4609,0.0,217349.0,63275,South
fl,3033,45.0,2728227.0,54316,South
fl,302,4.0,241168.0,45921,South
fl,211,4.0,6527527.0,56775,South
fl,0,0.0,32042879.0,59547,South
fl,801,26.0,70115.0,38568,South
fl,574,4.0,2091301.0,51499,South
fl,0,0.0,1420997.0,44237,South
fl,1441,9.0,1909475.0,65740,South
fl,1873,6.0,5304147.0,69653,South
fl,4371,7.0,815928.0,46494,South
fl,742,3.0,255355.0,35438,South
fl,1412,30.0,56867.0,39828,South
fl,0,0.0,12985323.0,55807,South
fl,1678,23.0,4096339.0,50915,South
fl,124,0.0,773323.0,54514,South
fl,377,0.0,97883.0,46643,South
fl,1109,27.0,347266.0,41401,South
fl,20,0.0,52543.0,43640,South
fl,7244,153.0,11717.0,40977,South
fl,1264,7.0,76880.0,47712,South
fl,2758,90.0,78296.0,38569,South
fl,2751,25.0,172130.0,38682,South
fl,2346,2.0,258055.0,40820,South
fl,1,0.0,1749408.0,48812,South
fl,2546,7.0,1112507.0,40942,South
fl,107,2.0,18274232.0,58884,South
fl,2331,31.0,104098.0,39102,South
fl,63,7.0,1881271.0,54740,South
fl,1742,40.0,574038.0,39872,South
fl,2401,18.0,67307.0,47240,South
fl,697,3.0,46605.0,50165,South
fl,2992,62.0,3761049.0,54513,South
fl,41,0.0,9445269.0,57832,South
fl,1962,20.0,3482390.0,53106,South
fl,2289,32.0,360765.0,37326,South
fl,2168,16.0,30219.0,38015,South
fl,3991,7.0,171200.0,37037,South
fl,4095,17.0,4191101.0,59009,South
fl,3686,147.0,4263626.0,45371,South
fl,674,8.0,2553285.0,61133,South
fl,462,9.0,38361231.0,51347,South
fl,2900,35.0,1467074.0,70033,South
fl,6,7.0,703812.0,69943,South
fl,1290,44.0,2886538.0,63412,South
fl,5414,33.0,508073.0,41760,South
fl,54,0.0,23076749.0,58254,South
fl,2973,17.0,3236221.0,52279,South
fl,32,0.0,19700117.0,63299,South
fl,5,0.0,5278200.0,52828,South
fl,0,7.0,14578176.0,54090,South
fl,5062,7.0,6495278.0,50584,South
fl,1223,7.0,633534.0,37670,South
fl,2360,64.0,1259869.0,67949,South
fl,2,0.0,5751661.0,62236,South
fl,0,0.0,6972028.0,66768,South
fl,1494,34.0,2502633.0,82252,South
fl,159,0.0,3709492.0,52322,South
fl,106,1.0,908807.0,57226,South
fl,4984,309.0,343072.0,47839,South
fl,3759,7.0,205220.0,40306,South
fl,1409,29.0,44787.0,44270,South
fl,4675,7.0,6168254.0,49494,South
fl,3278,60.0,176058.0,61410,South
fl,4587,104.0,817442.0,58093,South
fl,10142,99.0,174668.0,37022,South
ga,2414,45.0,211266.0,40304,South
ga,1968,70.0,43844.0,37197,South
ga,368,1.0,72655.0,37519,South
ga,2114,58.0,4703.0,32917,South
ga,62,3.0,554505.0,43672,South
ga,326,7.0,213696.0,47811,South
ga,0,0.0,671608.0,62345,South
ga,0,0.0,1264878.0,57423,South
ga,372,10.0,200347.0,32229,South
ga,3858,100.0,127067.0,40415,South
ga,0,0.0,2597512.0,41334,South
ga,311,2.0,88382.0,48174,South
ga,800,8.0,74020.0,38857,South
ga,1013,21.0,83865.0,38285,South
ga,414,0.0,352340.0,72624,South
ga,62,7.0,796808.0,45550,South
