Percentage of Low Income People,Education.Bachelor's Degree or Higher,Income.Median Houseold Income
0.425381813,12.9,44612
0.528425325,11.3,32730
0.280823115,29.9,56274
0.458693245,13.4,30114
0.413630864,11.6,52167
0.352902414,17.6,52631
0.421913925,12.9,48714
0.363433944,17.4,44043
0.478098908,10.5,38612
0.451560818,13.2,35899
0.34929349,17.1,51655
0.306055646,11.4,57217
0.302335086,22,54367
0.60905529,10.8,26478
0.324885496,14.6,48438
0.491726069,11.4,38396
0.353084342,18.2,48926
0.3569869,13.1,53926
0.461161949,15.8,42929
0.396469123,16.5,47170
0.510926903,13.8,32138
0.316343337,33.4,56586
0.316332485,29.5,58245
0.445120616,16.3,37055
0.258496387,31.7,64339
0.586100481,14.9,31198
0.592309753,14.2,30181
0.424394031,12.4,47643
0.47393084,14.4,41526
0.512795136,9.8,32798
0.592029083,8.3,25275
0.529540084,8.7,31627
0.559901339,12.1,29886
0.519576304,9.1,31147
0.467700722,13,42919
0.368829489,11.8,50839
0.38190549,16.4,48014
0.317209182,16.9,52528
0.364605095,30.8,50060
0.552118947,9.5,28147
0.424951061,12.6,40107
0.307909136,19.2,55113
0.52634199,11.7,41013
0.380905991,19.5,45377
0.360258649,24.2,46080
0.666195271,7.2,28105
0.325566908,13.5,51861
0.302266095,19.4,56603
0.452566602,11.2,39325
0.357544336,18.5,55093
0.530072501,13,37386
0.471422291,14.4,34879
0.458321219,15.7,45516
0.523330833,12.5,36134
0.400505872,12.6,43590
0.299630432,18,60127
